processo;dt_abertura;dt_faturamento;servico;vlr_faturamento;modal
3687/22;16/09/2022;02/01/2023;Agenciamento;2636,97;OCEANFREIGHT / FCL
4585/22;11/11/2022;02/01/2023;Agenciamento;1767,29;OCEANFREIGHT / LCL
4204/22;19/10/2022;03/01/2023;Agenciamento;1592,7;OCEANFREIGHT / LCL
4323/22;25/10/2022;03/01/2023;Agenciamento;1215,27;OCEANFREIGHT / FCL
3934/22;29/09/2022;03/01/2023;Desembaraço;1577;OCEANFREIGHT / FCL
4134/22;14/10/2022;03/01/2023;Desembaraço;1692;OCEANFREIGHT / FCL
4204/22;19/10/2022;03/01/2023;Desembaraço;1320;OCEANFREIGHT / LCL
4323/22;25/10/2022;03/01/2023;Desembaraço;1212;OCEANFREIGHT / FCL
4339/22;26/10/2022;03/01/2023;Desembaraço;1212;OCEANFREIGHT / FCL
3934/22;29/09/2022;03/01/2023;Seguro;810;OCEANFREIGHT / FCL
4134/22;14/10/2022;03/01/2023;Seguro;1737;OCEANFREIGHT / FCL
4323/22;25/10/2022;03/01/2023;Seguro;665;OCEANFREIGHT / FCL
4339/22;26/10/2022;03/01/2023;Seguro;278;OCEANFREIGHT / FCL
4134/22;14/10/2022;03/01/2023;Trading;15762;OCEANFREIGHT / FCL
5038/22;08/12/2022;03/01/2023;Trading;2424;AIRFREIGHT
3316/22;22/08/2022;04/01/2023;Agenciamento;4503,42;OCEANFREIGHT / FCL
4011/22;04/10/2022;04/01/2023;Agenciamento;3043,16;OCEANFREIGHT / FCL
4344/22;26/10/2022;04/01/2023;Agenciamento;3096,34;OCEANFREIGHT / FCL
4353/22;26/10/2022;04/01/2023;Agenciamento;2953,96;OCEANFREIGHT / FCL
4386/22;28/10/2022;04/01/2023;Agenciamento;5163,91;OCEANFREIGHT / FCL
1908/22;02/06/2022;04/01/2023;Desembaraço;1212;OCEANFREIGHT / LCL
35/23;04/01/2023;04/01/2023;Desembaraço;2640;
3514/22;05/09/2022;04/01/2023;Desembaraço;889;OCEANFREIGHT / FCL
4201/22;19/10/2022;04/01/2023;Desembaraço;817;OCEANFREIGHT / FCL
4280/22;21/10/2022;04/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
4386/22;28/10/2022;04/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
1908/22;02/06/2022;04/01/2023;Seguro;1450;OCEANFREIGHT / LCL
3364/22;23/08/2022;04/01/2023;Trading;67498;RODOVIARIO
4982/22;06/12/2022;04/01/2023;Trading;1212;OCEANFREIGHT / FCL
3797/22;23/09/2022;05/01/2023;Agenciamento;2481,24;OCEANFREIGHT / FCL
3798/22;23/09/2022;05/01/2023;Agenciamento;2119,31;OCEANFREIGHT / FCL
3808/22;26/09/2022;05/01/2023;Agenciamento;5377,8;OCEANFREIGHT / FCL
4347/22;26/10/2022;05/01/2023;Agenciamento;1471,97;OCEANFREIGHT / FCL
4348/22;26/10/2022;05/01/2023;Agenciamento;2414,66;OCEANFREIGHT / FCL
4488/22;03/11/2022;05/01/2023;Agenciamento;11065,14;OCEANFREIGHT / FCL
3287/22;18/08/2022;05/01/2023;Desembaraço;998;OCEANFREIGHT / FCL
3364/22;23/08/2022;05/01/2023;Desembaraço;2040;RODOVIARIO
3676/22;15/09/2022;05/01/2023;Desembaraço;2280;OCEANFREIGHT / FCL
3775/22;22/09/2022;05/01/2023;Desembaraço;1070;OCEANFREIGHT / LCL
3808/22;26/09/2022;05/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
3847/22;27/09/2022;05/01/2023;Desembaraço;726;RODOVIARIO
3861/22;27/09/2022;05/01/2023;Desembaraço;726;RODOVIARIO
3862/22;27/09/2022;05/01/2023;Desembaraço;726;RODOVIARIO
3865/22;27/09/2022;05/01/2023;Desembaraço;726;RODOVIARIO
4040/22;05/10/2022;05/01/2023;Desembaraço;726;RODOVIARIO
4055/22;07/10/2022;05/01/2023;Desembaraço;889;OCEANFREIGHT / FCL
4445/22;01/11/2022;05/01/2023;Desembaraço;2620;OCEANFREIGHT / FCL
5038/22;08/12/2022;05/01/2023;Desembaraço;1576;AIRFREIGHT
