mes,faturamento_real,faturamento_previsto,erro_pct
1,1741785.3,1534686.62,-11.890023414481679
2,1389071.29,1316831.19,-5.200604210889716
3,1326954.27,1209090.98,-8.882242038378612
4,1215106.42,1053566.76,-13.294280841673103
5,1315526.23,1234858.34,-6.131986437092927
6,1256788.01,1191164.95,-5.221489979045875
7,1959789.71,1532267.58,-21.814694087765158
8,1483572.12,1298602.06,-12.467884608130817
9,1829923.1199999999,1595949.81,-12.785963926178487
10,1733430.22,1634813.96,-5.689081617603275
11,1416261.35,1266267.83,-10.590807974813405
12,1895775.9,1607819.89,-15.18934859336486
