servico,Agenciamento,Agenciamento,Desembaraço,Desembaraço,Desembaraço,Seguro,Seguro,Seguro,Trading,Trading,Trading
modal,Aéreo,Marítimo,Aéreo,Marítimo,Rodoviário,Aéreo,Marítimo,Rodoviário,Aéreo,Marítimo,Rodoviário
mes_ano,,,,,,,,,,,
10/2025,0,189,0,306,0,0,144,0,0,226,0
11/2025,0,208,0,331,0,0,153,0,0,241,0
12/2025,42,227,72,357,67,40,163,22,40,256,45
01/2026,46,246,78,382,73,43,172,23,42,271,48
02/2026,50,265,84,408,78,46,182,25,45,286,51
03/2026,54,283,90,433,84,48,192,26,48,301,54
04/2026,59,302,96,459,89,51,201,27,50,316,57
05/2026,63,321,102,459,95,54,211,29,53,331,60
06/2026,67,340,108,459,100,56,220,30,55,346,63
07/2026,71,359,108,509,100,59,230,32,58,361,66
08/2026,75,378,108,509,100,62,239,33,61,376,69
09/2026,79,378,120,509,111,64,239,34,63,376,72
10/2026,83,0,120,0,111,67,0,36,66,0,75
11/2026,83,0,120,0,111,67,0,36,66,0,75
TOTAL,772,3496,1206,5121,1119,657,2346,353,647,3687,735
